country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1981,70,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1982,75,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1983,81,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1984,83,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1985,85,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1986,87,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1987,92,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1988,98,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1989,95,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1990,97,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1991,97,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1992,99,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1993,99,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1994,99,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1995,98,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1996,98,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1997,96,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1998,96,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1999,96,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2000,96,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2001,96,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,96,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,97,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,97,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,97,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,97,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,98,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,97,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,98,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,98,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,97,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,97,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,97,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,96,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,95,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,94,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,94,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,96,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,96,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,95,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,93,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,94,Total,Units,%,Estimated value,,,12 to 23 months old
Finland,FI,FIN,246,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,94,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1983,15,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1984,26,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1985,35,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1986,39,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1987,45,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1988,51,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1989,58,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1990,71,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1991,74,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1992,76,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1993,78,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1994,80,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1995,83,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1996,84,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1997,83,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1998,82,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1999,83,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2000,84,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2001,85,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,86,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,87,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,88,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,87,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,89,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,90,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,89,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,89,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,89,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,89,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,91,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,90,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,91,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,91,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,90,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,90,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,90,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,92,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,94,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,94,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,95,Total,Units,%,Estimated value,,,12 to 23 months old
France,FR,FRA,250,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,95,Total,Units,%,Estimated value,,,12 to 23 months old
Gambia,GM,GMB,270,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,90,Total,Units,%,Estimated value,,,12 to 23 months old
Gambia,GM,GMB,270,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,91,Total,Units,%,Estimated value,,,12 to 23 months old
Gambia,GM,GMB,270,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,85,Total,Units,%,Estimated value,,,12 to 23 months old
Gambia,GM,GMB,270,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,82,Total,Units,%,Estimated value,,,12 to 23 months old
Gambia,GM,GMB,270,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,79,Total,Units,%,Estimated value,,,12 to 23 months old
Gambia,GM,GMB,270,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,74,Total,Units,%,Estimated value,,,12 to 23 months old
Gambia,GM,GMB,270,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,80,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,86,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,90,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,96,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,97,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,97,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,83,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,94,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,91,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,93,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,97,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,92,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,96,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,93,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,95,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,98,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,99,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,91,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,90,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,90,Total,Units,%,Estimated value,,,12 to 23 months old
Georgia,GE,GEO,268,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,95,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1991,75,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1992,75,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1993,89,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1994,90,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1995,92,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1996,91,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1997,91,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1998,92,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1999,92,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2000,92,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2001,94,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,94,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,95,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,96,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,96,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,96,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,97,Total,Units,%,Estimated value,,,12 to 23 months old
Germany,DE,DEU,276,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,97,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,89,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,92,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,89,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,89,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,95,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,92,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,92,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,88,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,94,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,95,Total,Units,%,Estimated value,,,12 to 23 months old
Ghana,GH,GHA,288,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,90,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1995,70,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1996,90,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1997,90,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1998,89,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1999,88,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2000,89,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2001,91,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,92,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,94,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,95,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,96,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,98,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,99,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,99,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,99,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,99,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,99,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,99,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,99,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,97,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,97,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,97,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,97,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,97,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,97,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,97,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,97,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,97,Total,Units,%,Estimated value,,,12 to 23 months old
Greece,GR,GRC,300,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,97,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1993,99,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1994,87,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1995,88,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1996,85,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1997,92,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1998,97,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1999,94,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2000,92,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2001,99,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,96,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,99,Total,Units,%,Estimated value,,,12 to 23 months old
Grenada,GD,GRD,308,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,74,Total,Units,%,Estimated value,,,12 to 23 months old
